# Source: European Commission EU Pesticides Database backend API
# Endpoint: https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/backend/api/product/76/mrls?lang=EN
# Product: Mangoes (Mangifera indica)
# Product code: 0163030
# Extracted: 2026-04-05
# Raw Commission row count: 520
# Merged unique operational row count: 516
# Explicit no-numeric-MRL row count: 13
# Official default fallback when no specific mango row exists: 0.01 mg/kg (Regulation (EC) No 396/2005 Article 18(1)(b); see Commission database footnotes such as Fosetyl).
name,aliases,cas,thaiMrl,destinationMrl,destinationLimitType,sourceRef,note
"Quizalofop (sum of quizalofop, its salts, its esters (including propaquizafop) and its conjugates, expressed as quizalofop (any ratio of constituent isomers))",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Repellants: Tall oil,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Resmethrin (resmethrin including other mixtures of consituent isomers (sum of isomers)) (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Rimsulfuron,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Rotenone,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Saflufenacil (sum of saflufenacil, M800H11 and M800H35, expressed as saflufenacil) (R)",,,,0.03,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.03*
Sedaxane (sum of isomers),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Silthiofam,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Simazine,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Sintofen,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Sodium 5-nitroguaiacolate, sodium o-nitrophenolate and sodium p-nitrophenolate (Sum of sodium 5-nitroguaiacolate, sodium o-nitrophenolate and sodium p-nitrophenolate, expressed as sodium 5-nitroguaiacolate)",,,,0.03,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.03*
Sodium aluminium silicate,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Sodium hypochlorite,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Spinetoram (sum of spinetoram-J and spinetoram-L) (F),(A)",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
"Spinosad (spinosad, sum of spinosyn A and spinosyn D) (F)",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Spirodiclofen (F),,,,1,NUMERIC,EC EU Pesticides Database product/76,
Spiromesifen,,,,0.4,NUMERIC,EC EU Pesticides Database product/76,
"Spirotetramat and spirotetramat-enol (sum of), expressed as spirotetramat (R)",,,,0.3,NUMERIC,EC EU Pesticides Database product/76,
"Spiroxamine (sum of isomers) (R),(A)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Streptomycin,,,,0,NO_NUMERIC_LIMIT,EC EU Pesticides Database product/76,Official Commission mango entry has no published numeric MRL.
Sulcotrione (R),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Sulfosulfuron,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Sulfoxaflor (sum of isomers),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Sulfuryl fluoride,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Sum of M4 and M6 (both free and conjugated), expressed as pinoxaden (R),(A)",,,,0.03,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.03*
"Sum of diclofop-methyl, diclofop acid and its salts, expressed as diclofop-methyl (sum of isomers)",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
"Sum of metobromuron and 4-bromophenylurea, expressed as metobromuron",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
TEPP,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Tebuconazole (R),,,,0.1,NUMERIC,EC EU Pesticides Database product/76,
Tebufenozide (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Tebufenpyrad (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Tecnazene (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Teflubenzuron (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Tefluthrin (tefluthrin including other mixtures of constituent isomers (sum of isomers)) (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Tembotrione (Sum of parent tembotrione (AE 0172747) and its metabolite M5 (4,6-dihydroxy tembotrione), expressed as tembotrione) (R)",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
"Tepraloxydim (sum of tepraloxydim and its metabolites that can be hydrolysed either to the moiety 3-(tetrahydro-pyran-4-yl)-glutaric acid or to the moiety 3-hydroxy-(tetrahydro-pyran-4-yl)-glutaric acid, expressed as tepraloxydim)",,,,0.1,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.1*
Terbufos,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Terbuthylazine (R),(F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Tetraconazole (sum of constituent isomers) (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Tetradifon,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Thiabendazole (R),,,,5,NUMERIC,EC EU Pesticides Database product/76,
Thiacloprid,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Thiamethoxam,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Thiencarbazone-methyl,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Thifensulfuron-methyl,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Thiobencarb (4-chlorobenzyl methyl sulfone) (A),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Thiodicarb,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Thiophanate-methyl (R),,,,1,NUMERIC,EC EU Pesticides Database product/76,
Thiram (expressed as thiram),,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
Tolclofos-methyl (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Tolylfluanid (Sum of tolylfluanid and dimethylaminosulfotoluidide expressed as tolylfluanid) (R),(F)",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Topramezone (BAS 670H),,,,0.005,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.005*
Tralkoxydim (sum of the constituent isomers of tralkoxydim),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Tri-allate,,,,0.1,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.1*
Triadimefon (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Triadimenol (any ratio of constituent isomers),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Triasulfuron,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Triazophos (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Triazoxide,,,,0.001,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.001*
Tribenuron-methyl,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Trichlorfon,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Triclopyr,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Tricyclazole,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Tridemorph (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Trifloxystrobin (R),(F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Triflumezopyrim,,,,0,NO_NUMERIC_LIMIT,EC EU Pesticides Database product/76,Official Commission mango entry has no published numeric MRL.
"Triflumizole: Triflumizole and metabolite FM-6-1(N-(4-chloro-2-trifluoromethylphenyl)-n-propoxyacetamidine), expressed as Triflumizole (R),(F)",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Triflumuron (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Trifluralin,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Triflusulfuron (6-(2,2,2-trifluoroethoxy)-1,3,5-triazine-2,4-diamine (IN-M7222))",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Triforine,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Trimethyl-sulfonium cation, resulting from the use of glyphosate (F)",,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
"Trinexapac (sum of trinexapac (acid) and its salts, expressed as trinexapac)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Triticonazole,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Tritosulfuron,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Valifenalate (R),(A)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Vinclozolin,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Warfarin,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Z,Z,Z,Z-7,13,16,19-docosatetraen-1-yl isobutyrate (F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Z-13-hexadecen-11-yn-1-yl acetate (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Ziram,,,,0.1,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.1*
Zoxamide (sum of constituent isomers),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
